Title,Description,Link
BBC Video - World class video news and storytelling from around the world.,Watch some of the award winning video journalism and features from the BBC,https://www.bbc.com//video
BBC Live & Breaking World and U.S. News,Live journalism from around the world,https://www.bbc.com//live
BBC Travel | Destinations,BBC Travel brings you the latest Destination guides from around the world,https://www.bbc.com//travel/destinations
China | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about China from across the BBC.",https://www.bbc.com//news/world/asia/china
Child marriages - Newspaper - DAWN.COM,Almost 19m girls in Pakistan are married before they turn 18.,https://www.dawn.com/news/1832829/child-marriages
Chang'e-6 is just the tip of China's ambitions for the Solar System,China's Chang'e-6 mission is intended to bring back lunar samples but is also a stepping stone to much more ambitious space exploration.,https://www.bbc.com//future/article/20240510-change-6-is-just-the-tip-of-chinas-space-ambitions
"SOUNDSCAPE: AND NOW, AI MUSIC - Newspaper - DAWN.COM",AI can now generate entire songs on demand. What does this mean for music as we know it?,https://www.dawn.com/news/1832572/soundscape-and-now-ai-music
Harry and Meghan visit Lagos school on final day of Nigeria tour,Prince Harry played basketball with a group of school students in Nigeria's most populated city.,https://www.bbc.com//news/world-africa-68999815
Ukraine: Hundreds flee Kharkiv area after Russian cross-border attack,Evacuations are under way in the Kharkiv area as fighting continues after Friday's surprise incursions.,https://www.bbc.com//news/world-europe-68994877
News stories for Maliha Rehman - DAWN.COM,,https://www.dawn.com/authors/1245/maliha-rehman
"BBC Home - Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio","Visit BBC for trusted reporting on the latest world and US news, sports, business, climate, innovation, culture and much more.",https://www.bbc.com//
Virginia Commonwealth University students walk out of graduation,"Dozens of VCU grads left during Gov Glenn Youngkin's speech, in part over his comments on campus protests.",https://www.bbc.com//news/world-us-canada-68996066
UK exits recession with fastest growth in two years,The economy grew by a stronger than expected 0.6% in the first three months of the year.,https://www.bbc.com//news/business-68983741
BBC Culture | Art & Design,BBC Culture brings you the latest art and design news and coverage from around the world,https://www.bbc.com//culture/art
BBC Travel | Destinations | Australia and Pacific,BBC Travel brings you the latest articles and guides to Australia and Pacific,https://www.bbc.com//travel/destinations/australia-and-pacific
Nasa shows what it's like inside a black hole,A black hole is a region of space with such strong gravity not even light can escape.,https://www.bbc.com//news/science-environment-68991593
India | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about India from across the BBC.",https://www.bbc.com//news/world/asia/india
Compunode,Advance Software and Publishing Solutions in EMEA and globally.,https://www.compunode.com/
Herald - Herald,,https://herald.dawn.com
Sudan conflict: Two children killed as bomb falls near Darfur hospital - MSF,The battle for control of the western city of El Fasher has intensified over the last few days.,https://www.bbc.com//news/articles/c51n5lppw8vo
Live Updates: Gaza invasion - DAWN.COM,Live Updates: Gaza invasion,https://www.dawn.com/live/gaza-invasion
Baftas TV Awards 2024 live: Stars line red carpet ahead of awards ceremony - BBC News,Nominees arrive at London's Royal Festival Hall for the biggest night in British television.,https://www.bbc.com/news/live/entertainment-arts-68979346?src_origin=BBCS_BBC
Smoking ban: Why are young people still taking up smoking?,Hundreds of young people in the UK take their first puff each day. Is that why a ban is planned?,https://www.bbc.com//news/health-68992772
Business & Finance -Newspaper - DAWN.COM,,https://www.dawn.com//newspaper/business-finance
Videos - DAWN.COM,,https://www.dawn.com//videos
BBC Innovation | Artificial Intelligence,BBC Innovation brings you the latest in Technology news and coverage from around the world,https://www.bbc.com//innovation/artificial-intelligence
Comments Policy - DAWN.COM - DAWN.COM,,https://www.dawn.com//comments-policy
"Thousands told to evacuate due to British Columbia, Canada wildfire","Fort McMurray residents in neighbouring Alberta, Canada are also under an evacuation alert due to a blaze.",https://www.bbc.com//news/world-us-canada-68996062
Israeli ambassador shreds UN charter with tiny shredder,Gilad Erdan condemned the passing of a resolution enhancing Palestine's rights within the organisation.,https://www.bbc.com//news/world-us-canada-68994032
News stories for Reema Omer - DAWN.COM,,https://www.dawn.com/authors/815/reema-omer
BBC Travel | Destinations | North America,BBC Travel brings you the latest articles and guides to North America,https://www.bbc.com//travel/destinations/north-america
Djokovic greets fans with a helmet after being hit by bottle,The tennis player was accidentally struck in the head with a hard bottle that fell from a fan's backpack.,https://www.bbc.com//news/world-europe-68994908
Trump trial fans show up for 'spectacle' and 'to witness history',Dozens stand in line in the early morning for a glimpse at the first criminal trial of a former US president.,https://www.bbc.com//news/world-us-canada-68991796
BBC Business | Future of Business,"BBC Business brings you the latest news and coverage exploring the future of business from around the world, from digital disruption to the landscape of business advancement, growth, and sustainability",https://www.bbc.com//business/future-of-business
News stories for Sahar Bandial - DAWN.COM,,https://www.dawn.com/authors/5582/sahar-bandial
Privacy - DAWN.COM - DAWN.COM,,https://www.dawn.com//privacy
News stories for AFP - DAWN.COM,,https://www.dawn.com/authors/119/afp
"Cartoon: 12 May, 2024 - Newspaper - DAWN.COM",,https://www.dawn.com/news/1832985/cartoon-12-may-2024
ICON -Magazines - DAWN.COM,,https://www.dawn.com//magazines/icon
News stories for Jamil Nagri - DAWN.COM,,https://www.dawn.com/authors/2617/jamil-nagri
A turbulent 2023 - Newspaper - DAWN.COM,"Govt must ensure judiciary's independence, respect for democratic processes, and protection for all citizens against abuse of power.",https://www.dawn.com/news/1832987
Prayers Timings - DAWN.COM,,https://www.dawn.com//prayers-timings
A moral victory - Newspaper - DAWN.COM,AS the UN General Assembly overwhelmingly voted on Friday in favour of granting Palestine greater rights at the...,https://www.dawn.com/news/1832986/a-moral-victory
Middle East | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about the Middle East from across the BBC.",https://www.bbc.com//news/world/middle_east
BBC Sounds - Music. Radio. Podcasts,"Listen without limits, with BBC Sounds. Catch the latest music tracks, discover binge-worthy podcasts, or listen to radio shows - all whenever you want.",https://www.bbc.co.uk/sounds?src_origin=BBCS_BBC
Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan - Pakistan - DAWN.COM,"Seema's battle with fistula unveils the tragedy of early marriage, urging society to confront the intertwined dangers of child marriage and women's health crises.",https://www.dawn.com/news/1823323/fistula-and-child-marriages-the-two-epidemics-plaguing-women-in-gilgit-baltistan
News stories for Mohammad Ali Babakhel - DAWN.COM,,https://www.dawn.com/authors/2112/mohammad-ali-babakhel
BBC Travel | Culture & Experiences,BBC Travel brings you the latest Culture & Experiences coverage from around the world,https://www.bbc.com//travel/cultural-experiences
"Ghana, Nigeria and the quest for UK looted treasure",Artefacts looted by the British in the colonial era are now  back in Ghana and are on public view.,https://www.bbc.com//news/articles/cd1353v5p5xo
"BBC Travel | Food & drink, History, Destinations, Road trips","BBC Travel brings you the latest travel news and coverage from around the world, including culture, identity, food & drink, sustainability, adventure, experiences, destinations and more",https://www.bbc.com//travel
Sponsor Content - DAWN.COM - DAWN.COM,,https://www.dawn.com//sponsor-content
News stories for Nadir Guramani - DAWN.COM,,https://www.dawn.com/authors/9835/nadir-guramani
In Pictures | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about In Pictures from across the BBC.",https://www.bbc.com//news/in_pictures
Sydney's tree wars: Greed and harbour views fuel vandalism,"Hundreds of trees have recently been killed, conveniently exposing multi-million dollar views.",https://www.bbc.com//news/world-australia-68871869
Govt hints at raising wheat purchase target - Pakistan - DAWN.COM,"Drive to buy 400,000 tonnes of grain kicks off; farmers want wheat procured from across Punjab; Kissan leader urges govt to ensure official rate of staple.",https://www.dawn.com/news/1832980/govt-hints-at-raising-wheat-purchase-target
Teeli - YouTube,"Web series, comedy sketches and social satire for South Asia's youth.",https://www.youtube.com/channel/UCkMdI0K-74jAjOmh5J5H97Q
Brazil floods drive thousands from their homes,"Heavy rains wreak havoc in southern Brazil, leaving many homeless and raising fears of further chaos.",https://www.bbc.com//news/world-latin-america-68979430
Onus on US to stop Gaza conflict and grant Palestine full UN membership - Opinion - Chinadaily.com.cn,,https://www.chinadaily.com.cn/a/202405/11/WS663f1a07a31082fc043c696d.html
UK | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about the UK from across the BBC.",https://www.bbc.com//news/uk
Man who received first pig kidney transplant dies aged 62,The US hospital which carried out the operation said Rick Slayman's death was not a result of the transplant.,https://www.bbc.com//news/articles/c4n1l9g2wn9o
Contact - DAWN.COM - DAWN.COM,,https://www.dawn.com//contact
Dawn Obituaries - Book Dawn Newspaper Obituary Online,,https://obituary.dawn.com
"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi - Celebrity - Images",Actor holds men accountable for perpetuating a culture of silence and complicity that has helped normalise harassment.,https://images.dawn.com/news/1192429/men-must-take-the-lead-in-standing-up-against-sexual-harassment-says-hamza-ali-abbasi
BBC Travel | The SpecialList,The SpecialList series helps you see the world through the eyes of local experts and tastemakers in guides to the most popular and emerging destinations across the globe,https://www.bbc.com//travel/specialist
Australia commits to gas beyond 2050 despite climate warnings,The policy comes despite global calls to drastically phase out fossil fuels to reach climate targets.,https://www.bbc.com//news/articles/cjq5gky4e5no
Foreign Office investigates Hamas claim British-Israeli hostage killed in Gaza,"British-Israeli Nadav Popplewell, 51, died of wounds sustained weeks ago, the Palestinian group claims.",https://www.bbc.com//news/world-middle-east-68998654
CityFM89,,https://cityfm89.com
"From Ancient Egypt to Roman Britain, brewers are reviving beers from the past","Beer archaeologists are peering back millennia to recreate brews from ancient Egypt, Greece and Rome using ancient methods and ingredients.",https://www.bbc.com//travel/article/20240426-from-ancient-egypt-to-roman-britain-brewers-are-reviving-beers-from-the-past
Eurovision 2024: Switzerland's Nemo wins as UK comes 18th,Nemo becomes the first non-binary artist to win Eurovision with their song The Code.,https://www.bbc.com//news/articles/c03drw23zewo
Documentary on Dr Aafia Siddiqui launched in Karachi - Pakistan - DAWN.COM,"Sheds light on various aspects of Dr Aafia's life; from her birth, education, and marriage to her kidnapping in Karachi and confinement in a notorious US prison.",https://www.dawn.com/news/1832958/documentary-on-dr-aafia-siddiqui-launched-in-karachi
News stories for Mashael Shah - DAWN.COM,,https://www.dawn.com/authors/10857/mashael-shah
"Dawn-ePaper | May 12, 2024 | Page Front Page",,https://epaper.dawn.com
